# Wavelength Flux_Radius_1 Flux_Radius_2 Flux_Radius_3 Flux_Radius_4
4.599749023437500000e+03 1.878868530273437500e+03 1.664905395507812500e+02 6.568077087402343750e+01 3.392477416992187500e+01
4.600999023437500000e+03 1.882899780273437500e+03 1.690074310302734375e+02 6.171442031860351562e+01 5.069745635986328125e+01
4.602249023437500000e+03 1.856038208007812500e+03 1.716010437011718750e+02 5.407167816162109375e+01 2.630920028686523438e+01
4.603499023437500000e+03 1.781219604492187500e+03 1.632512207031250000e+02 6.374607086181640625e+01 4.683195495605468750e+01
4.604749023437500000e+03 1.791048583984375000e+03 1.524969787597656250e+02 7.028165435791015625e+01 4.785755157470703125e+01
4.605999023437500000e+03 1.756809936523437500e+03 1.490727386474609375e+02 6.010784149169921875e+01 4.122829055786132812e+01
4.607249023437500000e+03 1.816613403320312500e+03 1.669095611572265625e+02 5.555800247192382812e+01 3.428591537475585938e+01
4.608499023437500000e+03 1.774560913085937500e+03 1.691766510009765625e+02 6.238432693481445312e+01 3.949053955078125000e+01
4.609749023437500000e+03 1.806311767578125000e+03 1.547244720458984375e+02 5.027762603759765625e+01 3.248199844360351562e+01
4.610999023437500000e+03 1.785391723632812500e+03 1.594105987548828125e+02 5.442893981933593750e+01 3.494659042358398438e+01
4.612249023437500000e+03 1.834324096679687500e+03 1.478870239257812500e+02 6.541946411132812500e+01 3.678346252441406250e+01
4.613499023437500000e+03 1.764493652343750000e+03 1.539781341552734375e+02 7.337602996826171875e+01 2.320064926147460938e+01
4.614749023437500000e+03 1.780188964843750000e+03 1.475236358642578125e+02 6.404321289062500000e+01 2.571753883361816406e+01
4.615999023437500000e+03 1.796650268554687500e+03 1.635012054443359375e+02 7.331728363037109375e+01 1.642798995971679688e+01
4.617249023437500000e+03 1.869978149414062500e+03 1.676550445556640625e+02 5.821930694580078125e+01 2.724427604675292969e+01
4.618499023437500000e+03 1.887587646484375000e+03 1.650945587158203125e+02 6.984178161621093750e+01 3.026772689819335938e+01
4.619749023437500000e+03 1.943394287109375000e+03 1.499470977783203125e+02 8.313417053222656250e+01 3.316199111938476562e+01
4.620999023437500000e+03 1.832609252929687500e+03 1.648107604980468750e+02 5.236132431030273438e+01 3.737421035766601562e+01
4.622249023437500000e+03 1.781588989257812500e+03 1.317779541015625000e+02 6.394760513305664062e+01 4.302305984497070312e+01
4.623499023437500000e+03 1.866317382812500000e+03 1.527494506835937500e+02 6.091267776489257812e+01 2.397419357299804688e+01
4.624749023437500000e+03 1.851456909179687500e+03 1.514947967529296875e+02 6.815612030029296875e+01 2.944062423706054688e+01
4.625999023437500000e+03 1.821990234375000000e+03 1.487260589599609375e+02 5.676509857177734375e+01 3.836706161499023438e+01
4.627249023437500000e+03 1.807302490234375000e+03 2.041049194335937500e+02 6.135726547241210938e+01 3.482767486572265625e+01
4.628499023437500000e+03 1.817994262695312500e+03 1.880155029296875000e+02 6.524042510986328125e+01 2.579000282287597656e+01
4.629749023437500000e+03 1.811942749023437500e+03 1.631152191162109375e+02 5.495120239257812500e+01 2.553595924377441406e+01
4.630999023437500000e+03 1.840297973632812500e+03 1.686470336914062500e+02 7.684155273437500000e+01 3.232575988769531250e+01
4.632249023437500000e+03 1.832320312500000000e+03 1.637410583496093750e+02 6.049775695800781250e+01 4.952571487426757812e+01
4.633499023437500000e+03 1.878962402343750000e+03 1.700249633789062500e+02 5.990001678466796875e+01 4.302550888061523438e+01
4.634749023437500000e+03 1.919893920898437500e+03 1.735635681152343750e+02 5.641692352294921875e+01 3.636034011840820312e+01
